번호,호텔명,소재지전화,도로명우편번호,도로명전체주소,객실수,Lat,Lng
1,(주)화이트캐슬,033-644-6444,25627,강원도 강릉시 강동면 산두양지길 7-16,30,37.720795,128.9837942
2,메이플비치호텔,033-823-2370,25620,강원도 강릉시 강동면 염전길 255,48,37.74622423,128.9758519
3,정동진호텔,033-644-5504,25631,강원도 강릉시 강동면 율곡로 1055,37,37.6833538,129.0247712
4,하슬라뮤지엄호텔,033-644-9411,25631,강원도 강릉시 강동면 율곡로 1441,24,37.7056021,129.0080007
5,정동캐슬호텔,033-644-3422,25631,강원도 강릉시 강동면 율곡로 1455,21,37.7084721,129.0114442
6,호텔향기,033-642-7512,25631,강원도 강릉시 강동면 헌화로 982-6,39,37.6858419,129.0409774
7,동아호텔,033-648-9011,25539,강원도 강릉시 경강로 2080 (임당동),37,37.7558934,128.8945393
8,경포에이제이호텔,033-644-2992,25460,강원도 강릉시 경포로475번길 42 (안현동),57,37.8053093,128.9023566
9,세빈호텔,033-644-8477,25460,강원도 강릉시 경포로475번길 43 (안현동),31,37.8057335,128.9020233
10,호텔쏠밀키,033-644-7272,25460,강원도 강릉시 경포로475번길 45 (안현동),23,37.8057016,128.9023069
11,(주)강릉씨티호텔,033-655-8700,25515,강원도 강릉시 교동광장로 112 (교동),155,37.770502,128.8943557
12,루소호텔,033-647-9400,25512,강원도 강릉시 교동광장로100번길 12 (교동),38,37.7658455,128.8768634
13,THE HONG C HOTEL GANGNEUNG(더홍씨호텔 강릉),033-641-8011,25512,강원도 강릉시 교동광장로100번길 8 (교동),45,37.7656929,128.8766612
14,호텔 이스트나인,033-642-3200,25512,강원도 강릉시 교동광장로100번길 8-6 (교동),54,37.7656929,128.8766612
15,호텔라피네,033-646-7727,25621,강원도 강릉시 구정면 회산로 58-12,17,37.7225965,128.8451675
16,강릉관광호텔,033-648-7750,25539,강원도 강릉시 금성로 62 (성내동),74,37.7522584,128.8933789
17,브라운도트강릉역점,033-645-3401,25552,강원도 강릉시 동부시장길 14 (옥천동),44,37.7591244,128.900464
18,호텔더샾,033-645-9692,25552,강원도 강릉시 동부시장길 35 (옥천동),30,37.7610777,128.9005876
19,라메르호텔,033-655-0078,25440,강원도 강릉시 사천면 해안로 877,36,37.8291967,128.8776823
20,호텔파인힐,033-641-2849,25515,강원도 강릉시 솔올로5번길 12-3 (교동),40,37.7632198,128.8760282
21,에스엠호텔(SM),033-642-8813,25515,강원도 강릉시 솔올로5번길 23 (교동),45,37.7722168,128.8996671
22,루이스호텔,033-645-8118,25552,강원도 강릉시 옥가로50번길 11-1 (옥천동),30,37.7605924,128.9012456
23,호텔탑스텐,033-530-4800,25633,강원도 강릉시 옥계면 헌화로 455-34,333,37.6532823,129.0514825
24,더뷰티호텔,033-647-3385,25551,강원도 강릉시 옥천로62번길 19 (교동),33,37.7614443,128.8994265
25,위드호텔,033-641-8100,25551,강원도 강릉시 옥천로65번길 2-6 (옥천동),30,37.759566,128.897841
26,주문진호텔,033-661-0123,25410,강원도 강릉시 주문진읍 불당골길 5,42,37.8952779,128.8289644
27,코리아호텔,033-662-6754,25419,강원도 강릉시 주문진읍 신리천로 36,40,37.8846053,128.826952
28,HOTEL MEMORY(호텔메모리),033-662-8778,25414,강원도 강릉시 주문진읍 주문로 51-1,49,37.8884904,128.8251525
