127.0.0.1 - - [07/Nov/2022:09:44:19 +0900] "GET / HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [07/Nov/2022:09:45:13 +0900] "GET /MainPage HTTP/1.1" 200 18788
0:0:0:0:0:0:0:1 - - [07/Nov/2022:09:45:26 +0900] "GET /Login? HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [07/Nov/2022:09:45:29 +0900] "POST /Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Nov/2022:09:45:29 +0900] "GET /MainPage HTTP/1.1" 200 18882
0:0:0:0:0:0:0:1 - - [07/Nov/2022:09:45:33 +0900] "POST /MainPage HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Nov/2022:09:45:33 +0900] "GET /book?depart=GMP&arrive=HND&publeYear=2022-11-04 HTTP/1.1" 200 1052
0:0:0:0:0:0:0:1 - - [07/Nov/2022:09:45:34 +0900] "GET /bookCheck?ticketnum=137&id=%EC%84%B1%EA%B7%BC&publeYear=2022-11-04 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Nov/2022:09:45:34 +0900] "GET /MainPage?bookcomplete HTTP/1.1" 200 18882
0:0:0:0:0:0:0:1 - - [07/Nov/2022:09:45:35 +0900] "GET /Mypage? HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [07/Nov/2022:09:45:36 +0900] "GET /myticketCheck?id=%EC%84%B1%EA%B7%BC HTTP/1.1" 200 838
0:0:0:0:0:0:0:1 - - [07/Nov/2022:09:46:56 +0900] "GET /myticketCheck?id=%EC%84%B1%EA%B7%BC HTTP/1.1" 500 3779
0:0:0:0:0:0:0:1 - - [07/Nov/2022:10:02:27 +0900] "GET /Mypage? HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [07/Nov/2022:10:02:29 +0900] "GET /myticketCheck?id=%EC%84%B1%EA%B7%BC HTTP/1.1" 500 3779
0:0:0:0:0:0:0:1 - - [07/Nov/2022:10:03:54 +0900] "GET /Logout? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Nov/2022:10:03:55 +0900] "GET /Logout? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Nov/2022:10:03:55 +0900] "GET /MainPage?logout HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [07/Nov/2022:10:03:55 +0900] "GET /MainPage?logout HTTP/1.1" 200 18788
0:0:0:0:0:0:0:1 - - [07/Nov/2022:10:03:56 +0900] "GET /Login? HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [07/Nov/2022:10:04:01 +0900] "POST /Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Nov/2022:10:04:01 +0900] "GET /MainPage HTTP/1.1" 200 18882
0:0:0:0:0:0:0:1 - - [07/Nov/2022:10:04:03 +0900] "GET /Mypage? HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [07/Nov/2022:10:04:03 +0900] "GET /myticketCheck?id=%EC%84%B1%EA%B7%BC HTTP/1.1" 500 3779
0:0:0:0:0:0:0:1 - - [07/Nov/2022:10:05:48 +0900] "GET /myticketCheck?id=%EC%84%B1%EA%B7%BC HTTP/1.1" 200 833
